29,29,2,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,6,6,6,6,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,6,6,6,6,6,6,6,6,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,6,6,6,6,6,6,6,6,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,6,6,6,6,6,6,6,6,6,6,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,6,6,6,6,6,6,6,6,6,6,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,6,6,6,6,6,6,6,6,6,6,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,6,6,6,6,6,6,6,6,6,6,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,6,6,6,6,6,6,6,6,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,6,6,6,6,6,6,6,6,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,6,6,6,6,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,
12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,
5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,
12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,5,12,12,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
